Search keyword report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Search impr. share,Search impr. share (Compare to),Search impr. share (Change),Search impr. share (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),CTR,CTR (Compare to),CTR (Change),CTR (Change %),Final URL,Original conv. value,Original conv. value (Compare to),Original conv. value (Change),Original conv. value (Change %)
Enabled, +dog +daycare center,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,[doggie day care],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,short term +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,"""dog daycare""",Phrase match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled, +dog +daycare service,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,best +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,"""dog sitting""",Phrase match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[dog daycare],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +dog +daycare montgomery county,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,"+dog +daycare ""20850""",Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; rarely served; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,long term +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,certified +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,small bread +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; rarely served; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +doggy +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,overnight +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,[doggy day care],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled, +dog +day +care,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled, +dog +daycare facility,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,outdoor +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,local +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,indoor +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +rockville +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +dog +daycare moco,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; rarely served; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +dog +daycare Rockville,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[dog day care rockville md],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,largest +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +dog +day +care,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,clean +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +dog +daycare lodging.,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; rarely served; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,no reservations +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; rarely served; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled, +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[dog day care],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,[dog daycare],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,fun +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[rockville dog daycare],Exact match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused,long term +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Dog Daycare,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Paused, +rockville +dog +daycare,Broad match,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Dog Daycare,Paused,paused; ad group removed, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[affordable dog training near me],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Affordable Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[obedience school for dogs],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Training Classes,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[affordable dog training],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Affordable Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[affordable dog trainers near me],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Affordable Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[affordable dog trainers],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Affordable Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,dog training classes,Broad match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Training Classes,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[agility course for dogs],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Agile Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[agility training for dogs],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Agile Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[dog training classes near me],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Training Classes,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[behavioral dog trainers near me],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Training Classes,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,[agility for dogs near me],Exact match,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Agile Dog Training,Not eligible,ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
